Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
26.07.2011;22285.04;22581.56;22262.46;22572.08;1753808400;22572.08;;;;;;;;
25.07.2011;22287.37;22330.20;22217.40;22293.29;1334947500;22293.29;;;;;;;;
22.07.2011;22231.60;22449.11;22231.60;22444.80;2047907000;22444.80;;;;;;;;
21.07.2011;22058.63;22090.55;21857.03;21987.29;1584761700;21987.29;;;;;;;;
20.07.2011;22072.89;22088.24;21871.96;22003.69;1500940400;22003.69;;;;;;;;
19.07.2011;21805.00;21909.54;21611.16;21902.40;1419189300;21902.40;;;;;;;;
18.07.2011;21727.93;22026.60;21727.93;21804.75;1224406100;21804.75;;;;;;;;
15.07.2011;21872.56;21974.57;21774.95;21875.38;1260489400;21875.38;;;;;;;;
14.07.2011;21936.87;21945.02;21747.45;21940.20;1670259700;21940.20;;;;;;;;
13.07.2011;21794.37;21935.68;21718.81;21926.88;1668784100;21926.88;;;;;;;;
12.07.2011;22092.57;22092.57;21648.39;21663.16;2384655600;21663.16;;;;;;;;
11.07.2011;22598.62;22598.62;22307.22;22347.23;1525097000;22347.23;;;;;;;;
08.07.2011;22706.24;22835.03;22677.97;22726.43;1426589600;22726.43;;;;;;;;
07.07.2011;22587.50;22707.37;22523.93;22530.18;1477564100;22530.18;;;;;;;;
06.07.2011;22645.35;22737.50;22509.18;22517.55;9527772800;22517.55;;;;;;;;
05.07.2011;22821.75;22821.75;22707.10;22747.95;1092922400;22747.95;;;;;;;;
04.07.2011;22813.25;22817.50;22728.65;22770.47;1537363400;22770.47;;;;;;;;
30.06.2011;22233.70;22464.05;22174.61;22398.10;1686819200;22398.10;;;;;;;;
29.06.2011;22229.84;22237.10;22022.06;22061.18;1504695200;22061.18;;;;;;;;
28.06.2011;22168.93;22206.09;21952.37;22061.78;1391569500;22061.78;;;;;;;;
27.06.2011;21888.04;22099.29;21888.04;22041.77;1271935600;22041.77;;;;;;;;
24.06.2011;21843.76;22182.75;21783.73;22171.95;1956020800;22171.95;;;;;;;;
23.06.2011;21777.11;21905.10;21632.87;21759.14;1783660800;21759.14;;;;;;;;
22.06.2011;22044.16;22047.85;21837.84;21859.97;1431572200;21859.97;;;;;;;;
21.06.2011;21783.86;21875.16;21656.06;21850.59;2141318800;21850.59;;;;;;;;
20.06.2011;21770.79;21897.35;21508.77;21599.51;1395417200;21599.51;;;;;;;;
17.06.2011;21969.68;21971.24;21628.33;21695.26;1985574800;21695.26;;;;;;;;
16.06.2011;22048.28;22065.46;21874.89;21953.11;1875976400;21953.11;;;;;;;;
15.06.2011;22532.84;22598.76;22327.00;22343.77;1261848200;22343.77;;;;;;;;
14.06.2011;22298.47;22642.46;22298.47;22496.00;1502240000;22496.00;;;;;;;;
13.06.2011;22172.61;22508.50;22156.81;22508.08;1273235900;22508.08;;;;;;;;
10.06.2011;22641.62;22674.80;22297.94;22420.37;1701322400;22420.37;;;;;;;;
09.06.2011;22628.13;22647.30;22372.94;22609.83;2442731600;22609.83;;;;;;;;
08.06.2011;22757.62;22757.62;22607.09;22661.63;2026144000;22661.63;;;;;;;;
07.06.2011;22762.21;22928.96;22730.12;22868.67;1487292800;22868.67;;;;;;;;
03.06.2011;23338.76;23338.76;22932.48;22949.56;1959514000;22949.56;;;;;;;;
02.06.2011;23280.05;23317.79;23210.95;23253.84;1305464400;23253.84;;;;;;;;
01.06.2011;23686.77;23706.00;23598.39;23626.43;1590464800;23626.43;;;;;;;;
31.05.2011;23380.29;23707.95;23371.48;23684.13;2140362000;23684.13;;;;;;;;
30.05.2011;23117.80;23257.85;23086.05;23184.32;792873800;23184.32;;;;;;;;
27.05.2011;22939.95;23150.60;22859.98;23118.07;1504550900;23118.07;;;;;;;;
26.05.2011;22848.06;22943.85;22796.13;22900.79;960477800;22900.79;;;;;;;;
25.05.2011;22558.33;22767.01;22519.66;22747.28;1231365300;22747.28;;;;;;;;
24.05.2011;22693.10;22754.45;22631.13;22730.78;1007851200;22730.78;;;;;;;;
23.05.2011;22942.96;22942.96;22691.33;22711.02;1487178000;22711.02;;;;;;;;
20.05.2011;23215.62;23242.63;23147.42;23199.39;798082000;23199.39;;;;;;;;
